iter	Logloss
0	0.6691807211
5	0.5723776762
10	0.5063858627
15	0.459960046
20	0.4263122033
25	0.401592292
30	0.3835199644
35	0.3704934925
40	0.360270463
45	0.3528434912
50	0.3467709175
55	0.3425012308
60	0.3389348743
65	0.3358715095
70	0.333598263
75	0.3316731468
80	0.330063592
85	0.3287241214
90	0.3276282569
95	0.326768235
100	0.3259549207
105	0.3252548412
110	0.3246409816
115	0.3241274174
120	0.3236633698
125	0.3232551505
130	0.3229114068
135	0.3225819279
140	0.3222916141
145	0.3220272735
150	0.3218011513
155	0.32157768
160	0.3213760478
165	0.3211603401
170	0.320960412
175	0.3207860155
180	0.3206203608
185	0.3204664462
190	0.3203108905
195	0.3201637611
200	0.3200223755
205	0.3198905209
210	0.3197723313
215	0.3196367527
220	0.3195228237
225	0.3194166583
230	0.3192992577
235	0.3191987099
240	0.3190871162
245	0.3189802881
250	0.318878825
255	0.318779287
260	0.3186976116
265	0.3185927401
270	0.3184996087
275	0.3184067928
280	0.3183262851
285	0.3182307552
290	0.3181581372
295	0.3180633963
300	0.3179986682
305	0.3179177818
310	0.317838063
315	0.3177674649
320	0.3176903656
325	0.3176198937
330	0.3175533983
335	0.3174886071
340	0.3174147584
345	0.3173387636
350	0.3172714792
355	0.317222089
360	0.3171543312
365	0.31708954
370	0.3170226974
375	0.3169573697
380	0.3169067486
385	0.316854518
390	0.3168009304
395	0.316733646
400	0.3166687601
405	0.3166110697
410	0.3165466572
415	0.3164795622
420	0.3164221559
425	0.3163635819
430	0.3163016625
435	0.3162320743
440	0.3161726166
445	0.3161129696
450	0.3160477366
455	0.3159773909
460	0.3159307148
465	0.3158781686
470	0.315825433
475	0.3157523417
480	0.3157027621
485	0.315640969
490	0.3155883912
495	0.3155370443
500	0.3154793539
505	0.3154115646
510	0.3153476255
515	0.3153001288
520	0.3152463202
525	0.3151948154
530	0.3151384821
535	0.3150754898
540	0.3150273935
545	0.3149651901
550	0.3149059849
555	0.3148624647
560	0.3148023758
565	0.3147409299
570	0.3146838076
575	0.3146204996
580	0.3145691211
585	0.3145143027
590	0.3144580325
595	0.3144034349
600	0.3143491529
605	0.3142955337
610	0.3142451967
615	0.3141925558
620	0.3141341711
625	0.314081688
630	0.314032929
635	0.3139736291
640	0.3139204201
645	0.313869231
650	0.3138320857
655	0.3137719968
660	0.3137139593
665	0.3136669675
670	0.3136090563
675	0.3135613386
680	0.3135080981
685	0.3134626527
690	0.3134192903
695	0.3133749179
700	0.3133279262
705	0.3132809344
710	0.3132314495
715	0.3131808915
720	0.3131306807
725	0.3130852037
730	0.3130401687
735	0.3129809003
740	0.3129312576
745	0.312885181
750	0.3128448167
755	0.3127868423
760	0.312743543
765	0.3126849689
770	0.3126369988
775	0.3125917113
780	0.3125467393
785	0.3125006312
790	0.312455817
795	0.3124083203
800	0.312357857
805	0.3123132953
810	0.3122671556
815	0.312226381
820	0.3121767698
825	0.3121367527
830	0.3120873308
835	0.3120463353
840	0.3120020892
845	0.3119583796
850	0.3119123662
855	0.3118655638
860	0.3118220435
865	0.3117674775
870	0.3117231052
875	0.311690252
880	0.3116432286
885	0.311596016
890	0.3115493082
895	0.3115120998
900	0.3114587962
905	0.3114260377
910	0.3113884821
915	0.3113490015
920	0.3113024515
925	0.3112709869
930	0.3112334945
935	0.3111783289
940	0.311133925
945	0.3110946021
950	0.3110525651
955	0.3110149149
960	0.3109621794
965	0.3109098225
970	0.3108703103
975	0.3108333228
980	0.3107935581
985	0.3107449253
990	0.3106928209
995	0.3106550444
1000	0.310611682
1005	0.3105639959
1010	0.3105273556
1015	0.3104805847
1020	0.3104398733
1025	0.3104029173
1030	0.3103629317
1035	0.3103214628
1040	0.3102826449
1045	0.3102366946
1050	0.3101883142
1055	0.3101490229
1060	0.3101058498
1065	0.3100696829
1070	0.3100362616
1075	0.3099952977
1080	0.3099520299
1085	0.3099205022
1090	0.3098817474
1095	0.3098483892
1100	0.3098096975
1105	0.3097755504
1110	0.3097316199
1115	0.3096930229
1120	0.3096535107
1125	0.3096189532
1130	0.3095859107
1135	0.3095449783
1140	0.3095187525
1145	0.3094738121
1150	0.3094460084
1155	0.3094176681
1160	0.3093641436
1165	0.3093290812
1170	0.3092907683
1175	0.3092505618
1180	0.309217172
1185	0.3091745354
1190	0.3091369168
1195	0.3090932072
1200	0.3090469413
1205	0.3090032001
1210	0.3089655814
1215	0.308922503
1220	0.3088858311
1225	0.3088388078
1230	0.308797623
1235	0.3087524301
1240	0.3087120342
